"","CARREIRA","CARGO","occupation_native","occupation_english"
"952","ASSESSOR TEC. DA AREA DE PROTECAO AMBIEN","ASSESSOR TEC. DA AREA DE PROTECAO AMBIEN","assessor tec. da area de protecao ambien","tec. of the environmental protection area"
"953","SUPERINT. DE ESPORTE, LAZER, INCL. SOC.","SUPERINT. DE ESPORTE, LAZER, INCL. SOC.","superint. de esporte, lazer, incl. soc.","superint. sport, leisure, incl. soc."
"954","ASSESSOR TECNICO DE PROJETOS E CONVENIOS","ASSESSOR TECNICO DE PROJETOS E CONVENIOS","assessor tecnico de projetos e convenios","project and convenience technical advisor"
"955","SUPERVISOR DE MOBILIZACAO E PARTICIPACAO","SUPERVISOR DE MOBILIZACAO E PARTICIPACAO","supervisor de mobilizacao e participacao","mobilization and participation supervisor"
"956","ASSESSOR TECNICO DE INFRAESTRUTURA TECNO","ASSESSOR TECNICO DE INFRAESTRUTURA TECNO","assessor tecnico de infraestrutura tecno","technical infrastructure technical advisor"
"957","COORDENADOR DE CERIMONIAL","COORDENADOR DE CERIMONIAL","coordenador de cerimonial","ceremonial coordinator"
"958","ASSESSOR TECNICO DE MOVIMENTACAO E BENEF","ASSESSOR TECNICO DE MOVIMENTACAO E BENEF","assessor tecnico de movimentacao e benef","technical advisor of movement and benef"
"959","ASSESSOR ESPECIAL DO GOVERNADOR","ASSESSOR ESPECIAL DO GOVERNADOR","assessor especial do governador","governor's special advisor"
"960","GERENTE DE PLANEJAMENTO E POLITICA HABIT","GERENTE DE PLANEJAMENTO E POLITICA HABIT","gerente de planejamento e politica habit","habit planning and policy manager"
"961","GERENTE DE ARQUIVO","GERENTE DE ARQUIVO","gerente de arquivo","file manager"
"962","GERENTE DE PLANEJAMENTO E ACOMPANHAMENTO","GERENTE DE PLANEJAMENTO E ACOMPANHAMENTO","gerente de planejamento e acompanhamento","planning and monitoring manager"
"963","SUPERVISOR DE MOVIMENTACAO FUNCIONAL","SUPERVISOR DE MOVIMENTACAO FUNCIONAL","supervisor de movimentacao funcional","functional movement supervisor"
"964","GERENTE DE ORCAMENTOS DE HABITACAO E PRO","GERENTE DE ORCAMENTOS DE HABITACAO E PRO","gerente de orcamentos de habitacao e pro","housing boards manager and pro"
"965","ASSESSOR TECNICO DE EXECUCAO ORCAMENTARI","ASSESSOR TECNICO DE EXECUCAO ORCAMENTARI","assessor tecnico de execucao orcamentari","orcarmarial execution technical advisor"
"966","SUPERVISOR DE REGISTRO, CERTIFICACAO E A","SUPERVISOR DE REGISTRO, CERTIFICACAO E A","supervisor de registro, certificacao e a","registration supervisor, certification and the"
"967","GERENTE DE PROJETOS EM INFRAESTRUTURA HI","GERENTE DE PROJETOS EM INFRAESTRUTURA HI","gerente de projetos em infraestrutura hi","hi infrastructure project manager"
"968","ASSESSOR AGROPECUARIO","ASSESSOR AGROPECUARIO","assessor agropecuario","agropecuary advisor"
"969","GERENTE DE PROJETOS DE SANEAMENTO","GERENTE DE PROJETOS DE SANEAMENTO","gerente de projetos de saneamento","sanitation project manager"
"970","ASSESSOR TECNICO DE VALORIZACAO DE PESSO","ASSESSOR TECNICO DE VALORIZACAO DE PESSO","assessor tecnico de valorizacao de pesso","technical advisor to valorize people"
"971","ASSESSOR DO GABINETE DO GOVERNADOR","ASSESSOR DO GABINETE DO GOVERNADOR","assessor do gabinete do governador","governor's office advisor"
"972","GERENTE DE OBRAS DE ABASTECIMENTO DE AGU","GERENTE DE OBRAS DE ABASTECIMENTO DE AGU","gerente de obras de abastecimento de agu","agu supply work manager"
"973","ASSESSOR TECNICO DE FORMACAO E DIFUSAO","ASSESSOR TECNICO DE FORMACAO E DIFUSAO","assessor tecnico de formacao e difusao","technical advisor of formation and diffusion"
"974","ASSESSOR TECNICO DE COORDENACAO DE ENSIN","ASSESSOR TECNICO DE COORDENACAO DE ENSIN","assessor tecnico de coordenacao de ensin","technical advisor advisor of ensin coordination"
"975","ASSESSOR ESPECIAL DE COMUNICACAO","ASSESSOR ESPECIAL DE COMUNICACAO","assessor especial de comunicacao","special communication advisor"
"976","ASSESSOR TECNICO DO GABINETE DE GESTAO I","ASSESSOR TECNICO DO GABINETE DE GESTAO I","assessor tecnico do gabinete de gestao i","technical advisor to the pregnancy of management i"
"977","SUPERVISOR DE POLITICAS PUBLICAS DA AGRI","SUPERVISOR DE POLITICAS PUBLICAS DA AGRI","supervisor de politicas publicas da agri","public policy supervisor of agri"
"978","GERENTE DE URBANIZACAO","GERENTE DE URBANIZACAO","gerente de urbanizacao","urbanization manager"
"979","ASSESSOR TECNICO DE GESTAO DOCUMENTAL","ASSESSOR TECNICO DE GESTAO DOCUMENTAL","assessor tecnico de gestao documental","documentary management technical advisor"
"980","GERENTE DE OBRAS ESPECIAIS","GERENTE DE OBRAS ESPECIAIS","gerente de obras especiais","special works manager"
"981","GERENTE DE UNIDADES AVANCADAS","GERENTE DE UNIDADES AVANCADAS","gerente de unidades avancadas","advanced unit manager"
"982","ASSESSOR TECNICO DE APOIO A PRODUCAO CUL","ASSESSOR TECNICO DE APOIO A PRODUCAO CUL","assessor tecnico de apoio a producao cul","technical advisor to support production cul"
"983","SECRETARIO EXECUTIVO DA GESTAO INTERNA","SECRETARIO EXECUTIVO DA GESTAO INTERNA","secretario executivo da gestao interna","executive secretary of internal management"
"984","ASSESSOR TECNICO DE AVALIACAO","ASSESSOR TECNICO DE AVALIACAO","assessor tecnico de avaliacao","technical assessor advisor"
"985","ASSESSOR TECNICO DE FINANCAS","ASSESSOR TECNICO DE FINANCAS","assessor tecnico de financas","technical advisor of finances"
"986","ASSESSOR TECNICO DE SUPRIMENTO","ASSESSOR TECNICO DE SUPRIMENTO","assessor tecnico de suprimento","supply technical advisor"
"987","GERENTE DE PLANEJAMENTO E PROJETOS","GERENTE DE PLANEJAMENTO E PROJETOS","gerente de planejamento e projetos","planning and projects manager"
"988","ASSESSOR ESPECIAL DO FECOEP","ASSESSOR ESPECIAL DO FECOEP","assessor especial do fecoep","fecoep special advisor"
"989","GERENTE DE PROMOCAO","GERENTE DE PROMOCAO","gerente de promocao","promotion manager"
"990","ASSESSOR TECNICO DE MOBILIZACAO SOCIAL","ASSESSOR TECNICO DE MOBILIZACAO SOCIAL","assessor tecnico de mobilizacao social","social mobilization technician advisor"
"991","ASSESSOR DE MONIT. ESPECIAL","ASSESSOR DE MONIT. ESPECIAL","assessor de monit. especial","monit advisor. special"
"992","GERENTE DE PESCA","GERENTE DE PESCA","gerente de pesca","fishing manager"
"993","ASSESSOR TECNICO DE HARDWARES","ASSESSOR TECNICO DE HARDWARES","assessor tecnico de hardwares","hardware technical advisor"
"994","SUPERVISOR DO CENTRO DE BELAS ARTES","SUPERVISOR DO CENTRO DE BELAS ARTES","supervisor do centro de belas artes","supervisor of the center of fine arts"
"995","GERENTE DE PRESTACAO DE CONTAS DE CONTRA","GERENTE DE PRESTACAO DE CONTAS DE CONTRA","gerente de prestacao de contas de contra","contracting accounting manager"
"996","SUPERVISOR DO PROGRAMA DE AQUISICAO DE A","SUPERVISOR DO PROGRAMA DE AQUISICAO DE A","supervisor do programa de aquisicao de a","supervisor of the a purchase program"
"997","ASSESSOR TECNICO DE CONTAS A PAGAR","ASSESSOR TECNICO DE CONTAS A PAGAR","assessor tecnico de contas a pagar","technical advisor of accounts payable"
"998","ASSESSOR TECNICO DE EXECUCAO DE PROJETOS","ASSESSOR TECNICO DE EXECUCAO DE PROJETOS","assessor tecnico de execucao de projetos","project execution technical advisor"
"999","GERENTE ARTISTICO E CULTURAL","GERENTE ARTISTICO E CULTURAL","gerente artistico e cultural","artistic and cultural manager"
"1000","SUPERINT. DE OPERACOES TECNICAS","SUPERINT. DE OPERACOES TECNICAS","superint. de operacoes tecnicas","superint. of technical operations"
"1001","AGENTE DE SINE MARAGOGI","AGENTE DE SINE MARAGOGI","agente de sine maragogi","sine maragogi agent"
"1002","SUPERINT. DE DESENVOLVIMENTO DA PESCA","SUPERINT. DE DESENVOLVIMENTO DA PESCA","superint. de desenvolvimento da pesca","superint. fishing development"
"1003","ASSESSOR TECNICO DE ORCAMENTO","ASSESSOR TECNICO DE ORCAMENTO","assessor tecnico de orcamento","orcanal technical advisor"
"1004","GERENTE DE PESQUISA E INOVACAO TECNOLOGI","GERENTE DE PESQUISA E INOVACAO TECNOLOGI","gerente de pesquisa e inovacao tecnologi","research and innovation manager technology"
"1005","SUPERVISOR DO MEDIO SERTAO","SUPERVISOR DO MEDIO SERTAO","supervisor do medio sertao","supervisor of the midy sertao"
"1006","AGENTE ESPECIAL DE SINE DE ORIENTACAO AO","AGENTE ESPECIAL DE SINE DE ORIENTACAO AO","agente especial de sine de orientacao ao","special agent of guidance sine"
"1007","GERENTE DE OPERACOES","GERENTE DE OPERACOES","gerente de operacoes","operating manager"
"1008","GERENTE DE GESTAO EM RECURSOS HIDRICOS","GERENTE DE GESTAO EM RECURSOS HIDRICOS","gerente de gestao em recursos hidricos","hydric resources management manager"
"1009","GERENTE DE HIDROMETEOROLOGIA","GERENTE DE HIDROMETEOROLOGIA","gerente de hidrometeorologia","hydrometeorology manager"
"1010","SUPERVISOR DE OPERACAO DA REDE METEOROLO","SUPERVISOR DE OPERACAO DA REDE METEOROLO","supervisor de operacao da rede meteorolo","meteorolo network operation supervisor"
"1011","SUPERVISOR DO BAIXO SAO FRANCISCO","SUPERVISOR DO BAIXO SAO FRANCISCO","supervisor do baixo sao francisco","baixo sao francisco supervisor"
"1012","SUPERVISOR DE INTEGRACAO AO MEIO AMBIENT","SUPERVISOR DE INTEGRACAO AO MEIO AMBIENT","supervisor de integracao ao meio ambient","integration supervisor with environment"
"1013","SUPERVISOR DE CONTROLE AMBIENTAL","SUPERVISOR DE CONTROLE AMBIENTAL","supervisor de controle ambiental","environmental control supervisor"
"1014","ASSESSOR TECNICO DO BAIXO SAO FRANCISCO","ASSESSOR TECNICO DO BAIXO SAO FRANCISCO","assessor tecnico do baixo sao francisco","baixo sao francisco technical advisor"
"1015","ASSESSOR TECNICO DE CENOTECNIA","ASSESSOR TECNICO DE CENOTECNIA","assessor tecnico de cenotecnia","cenotechnics technical advisor"
"1016","GERENCIA DO TRABALHO E EMPREGO","GERENCIA DO TRABALHO E EMPREGO","gerencia do trabalho e emprego","work and employment management"
"1017","SECRETARIO EXECUTIVO DE COORD. DAS POL.","SECRETARIO EXECUTIVO DE COORD. DAS POL.","secretario executivo de coord. das pol.","executive secretary of coord. of the in."
"1018","CONTROLADOR GERAL DO ESTADO","CONTROLADOR GERAL DO ESTADO","controlador geral do estado","general state controller"
"1019","GERENTE DE POLITICAS PUBLICAS PARA JUVEN","GERENTE DE POLITICAS PUBLICAS PARA JUVEN","gerente de politicas publicas para juven","public policy manager for juven"
"1020","GERENTE DE DESIGN E ARTESANATO","GERENTE DE DESIGN E ARTESANATO","gerente de design e artesanato","design and craft manager"
"1021","ASSESSOR DE CONTROLE INTERNO","ASSESSOR DE CONTROLE INTERNO","assessor de controle interno","internal control advisor"
"1022","SUPERINT. DA JUVENTUDE","SUPERINT. DA JUVENTUDE","superint. da juventude","superint. youth"
"1023","ASSESSOR TECNICO DE CORREICAO E OUVIDORI","ASSESSOR TECNICO DE CORREICAO E OUVIDORI","assessor tecnico de correicao e ouvidori","technical advisor of correcation and oversori"
"1024","SUPERVISOR DE ARTESANATO","SUPERVISOR DE ARTESANATO","supervisor de artesanato","craft supervisor"
"1025","GERENTE DE CONTROLE DO CONSUMO INTERNO","GERENTE DE CONTROLE DO CONSUMO INTERNO","gerente de controle do consumo interno","internal consumption control manager"
"1026","SUPERINT. DE CORREICAO E OUVIDORIA","SUPERINT. DE CORREICAO E OUVIDORIA","superint. de correicao e ouvidoria","superint. correction and ombudsman"
"1027","SUPERVISOR DE EVENTOS","SUPERVISOR DE EVENTOS","supervisor de eventos","event supervisor"
"1028","ASSESSOR DE INTERACAO INSTITUCIONAL E SO","ASSESSOR DE INTERACAO INSTITUCIONAL E SO","assessor de interacao institucional e so","institutional interaction advisor and so"
"1029","SUPERVISOR DE SISTEMAS DE CONVENIOS","SUPERVISOR DE SISTEMAS DE CONVENIOS","supervisor de sistemas de convenios","convenience systems supervisor"
"1030","SUPERVISOR DE CONTROLE DE PROCESSO","SUPERVISOR DE CONTROLE DE PROCESSO","supervisor de controle de processo","process control supervisor"
"1031","SUPERVISOR DE PLANEJAMENTO DE PROJETOS E","SUPERVISOR DE PLANEJAMENTO DE PROJETOS E","supervisor de planejamento de projetos e","project planning supervisor and"
"1032","SUPERVISOR DE ACOMPANHAMENTO DE CONTRATO","SUPERVISOR DE ACOMPANHAMENTO DE CONTRATO","supervisor de acompanhamento de contrato","contract monitoring supervisor"
"1033","SUPERVISOR DE OBRAS DE ABASTECIMENTO DE","SUPERVISOR DE OBRAS DE ABASTECIMENTO DE","supervisor de obras de abastecimento de","supervisor of supply works of"
"1034","SUPERVISOR DE SUPRIMENTO","SUPERVISOR DE SUPRIMENTO","supervisor de suprimento","supervisor supervisor"
"1035","ASSESSOR TECNICO ESPECIAL DE INTEGRACAO","ASSESSOR TECNICO ESPECIAL DE INTEGRACAO","assessor tecnico especial de integracao","special technical advisor of integration"
"1036","ASSESSOR TECNICO DE INTEGRACAO LABORAL","ASSESSOR TECNICO DE INTEGRACAO LABORAL","assessor tecnico de integracao laboral","labor integration technical advisor"
"1037","ASSESSOR TECNICO DE SONOPLASTIA","ASSESSOR TECNICO DE SONOPLASTIA","assessor tecnico de sonoplastia","sonoplasty technical advisor"
"1038","ASSESSOR TECNICO ADMINISTRATIVO","ASSESSOR TECNICO ADMINISTRATIVO","assessor tecnico administrativo","administrative technical advisor"
"1039","SUPERINT. DE REGULAMENTACAO DE ATOS GOVE","SUPERINT. DE REGULAMENTACAO DE ATOS GOVE","superint. de regulamentacao de atos gove","superint. regulating acts gove"
"1040","ASSESSOR TECNICO DE MANUTENCAO DA REDE E","ASSESSOR TECNICO DE MANUTENCAO DA REDE E","assessor tecnico de manutencao da rede e","network maintenance technical advisor and"
"1041","SUPERVISOR DE MEDIACAO DE CONFLITOS","SUPERVISOR DE MEDIACAO DE CONFLITOS","supervisor de mediacao de conflitos","conflict mediation supervisor"
"1042","SUPERVISOR DE ARTICULACAO INSTITUCIONAL","SUPERVISOR DE ARTICULACAO INSTITUCIONAL","supervisor de articulacao institucional","institutional articulation supervisor"
"1043","ASSESSOR TECNICO DE CONTROLE DE BILHETER","ASSESSOR TECNICO DE CONTROLE DE BILHETER","assessor tecnico de controle de bilheter","technical control technical advisor"
"1044","AGENTE DE SINE FAROL","AGENTE DE SINE FAROL","agente de sine farol","sine lighthouse agent"
"1045","SUPERVISOR DE OBRAS DE HABITACAO DA REGI","SUPERVISOR DE OBRAS DE HABITACAO DA REGI","supervisor de obras de habitacao da regi","supervisor of recory housing works"
"1046","SUPERVISOR DE PROCESSOS PARA HABITACAO","SUPERVISOR DE PROCESSOS PARA HABITACAO","supervisor de processos para habitacao","process supervisor for housing"
"1047","AGENTE DE SINE TEOTONIO VILELA","AGENTE DE SINE TEOTONIO VILELA","agente de sine teotonio vilela","sine teotonio vilela agent"
"1048","ASSESSOR ESPECIAL DE ARTICULACAO POLITIC","ASSESSOR ESPECIAL DE ARTICULACAO POLITIC","assessor especial de articulacao politic","special politic articulation advisor"
"1049","SUPERVISOR DE OBRAS DE ESGOTAMENTO SANIT","SUPERVISOR DE OBRAS DE ESGOTAMENTO SANIT","supervisor de obras de esgotamento sanit","sanit sewage works supervisor"
"1050","SUPERVISOR DE AVALIACAO DE ACOES DE SANE","SUPERVISOR DE AVALIACAO DE ACOES DE SANE","supervisor de avaliacao de acoes de sane","sane rear evaluation supervisor"
"1051","SUPERVISOR DE PLANEJAMENTO DE CONVENIOS","SUPERVISOR DE PLANEJAMENTO DE CONVENIOS","supervisor de planejamento de convenios","convenience planning supervisor"
"1052","SUPERVISOR DE ORCAMENTOS PARA SANEAMENTO","SUPERVISOR DE ORCAMENTOS PARA SANEAMENTO","supervisor de orcamentos para saneamento","sanitation orca supervisor"
"1053","AGENTE DE SINE SAO MIGUEL DOS CAMPOS","AGENTE DE SINE SAO MIGUEL DOS CAMPOS","agente de sine sao miguel dos campos","sine sao miguel dos campos agent"
"1054","GERENTE DE ORCAMENTOS PARA SANEAMENTO","GERENTE DE ORCAMENTOS PARA SANEAMENTO","gerente de orcamentos para saneamento","sanitation orcase manager"
"1055","GERENTE DE EMPREENDEDORISMO E ECONOMIA S","GERENTE DE EMPREENDEDORISMO E ECONOMIA S","gerente de empreendedorismo e economia s","entrepreneurship and economics manager s"
"1056","ASSESSOR TECNICO DE SUPORTE AO USUARIO","ASSESSOR TECNICO DE SUPORTE AO USUARIO","assessor tecnico de suporte ao usuario","user support technical advisor"
"1057","SUPERVISOR DE CONTROLE E ARQUIVO","SUPERVISOR DE CONTROLE E ARQUIVO","supervisor de controle e arquivo","control and file supervisor"
"1058","ASSESSOR TECNICO ARTISTICO","ASSESSOR TECNICO ARTISTICO","assessor tecnico artistico","artistic technical advisor"
"1059","ASSESSOR TECNICO DE ILUMINACAO","ASSESSOR TECNICO DE ILUMINACAO","assessor tecnico de iluminacao","illumination technician advisor"
"1060","ASSESSOR CIENTIFICO DE FORMACAO DE CAPIT","ASSESSOR CIENTIFICO DE FORMACAO DE CAPIT","assessor cientifico de formacao de capit","scientific advisor of capit formation"
"1061","ASSESSOR TECNICO DE ELABORACAO DE PROJET","ASSESSOR TECNICO DE ELABORACAO DE PROJET","assessor tecnico de elaboracao de projet","project elaboration technical advisor"
"1062","ASSISTENTE DO GABINETE CIVIL","ASSISTENTE DO GABINETE CIVIL","assistente do gabinete civil","civil office assistant"
"1063","SECRETARIO ESPECIAL DO TESOURO ESTADUAL","SECRETARIO ESPECIAL DO TESOURO ESTADUAL","secretario especial do tesouro estadual","special secretary of the state treasury"
"1064","SECRETARIO ESPECIAL DA RECEITA ESTADUAL","SECRETARIO ESPECIAL DA RECEITA ESTADUAL","secretario especial da receita estadual","special secretary of state revenue"
"1065","AGENTE ESPECIAL DE SINE DE SEGURO DESEMP","AGENTE ESPECIAL DE SINE DE SEGURO DESEMP","agente especial de sine de seguro desemp","special agent of sine de insurance insurance"
"1066","ASSESSOR TECNICO DE CONTROLE FINANCEIRO","ASSESSOR TECNICO DE CONTROLE FINANCEIRO","assessor tecnico de controle financeiro","financial control technical advisor"
"1067","ASSESSOR TECNICO DE SERVICOS GERAIS","ASSESSOR TECNICO DE SERVICOS GERAIS","assessor tecnico de servicos gerais","general service technician advisor"
"1068","DIRETOR DO CONSELHO EXECUTIVO DE REGULAC","DIRETOR DO CONSELHO EXECUTIVO DE REGULAC","diretor do conselho executivo de regulac","director of the regular executive council"
"1069","ASSESSOR TEC. DO NUCLEO DE ATUALIZ. DA L","ASSESSOR TEC. DO NUCLEO DE ATUALIZ. DA L","assessor tec. do nucleo de atualiz. da l","tec. of update nucleus. l"
"1070","SUPERINT. DE AUDITAGEM","SUPERINT. DE AUDITAGEM","superint. de auditagem","superint. audit"
"1071","GERENTE DE REGULACAO DE TRANSPORTE","GERENTE DE REGULACAO DE TRANSPORTE","gerente de regulacao de transporte","transportation regulation manager"
"1072","GERENTE DE EFICIENCIA ENERGETICA","GERENTE DE EFICIENCIA ENERGETICA","gerente de eficiencia energetica","energy efficiency manager"
"1073","GERENTE DE REGULACAO DE ENERGIA ELETRICA","GERENTE DE REGULACAO DE ENERGIA ELETRICA","gerente de regulacao de energia eletrica","electric energy regulation manager"
"1074","GERENTE DE REGULACAO DE SANEAMENTO","GERENTE DE REGULACAO DE SANEAMENTO","gerente de regulacao de saneamento","sanitation regulation manager"
"1075","ASSESSOR TEC. DE CONT. DO SERV. AUX. DE","ASSESSOR TEC. DE CONT. DO SERV. AUX. DE","assessor tec. de cont. do serv. aux. de","tec. from cont. of the serv. aux. of"
"1076","GERENTE DE REGULACAO DE GAS NATURAL","GERENTE DE REGULACAO DE GAS NATURAL","gerente de regulacao de gas natural","natural gas regulation manager"
"1077","SUPERINT. ESPECIAL DE TRANSPORTE E DESEN","SUPERINT. ESPECIAL DE TRANSPORTE E DESEN","superint. especial de transporte e desen","superint. special transportation and"
"1078","SUPERVISOR DE TECNOLOGIA DA INFORMACAO","SUPERVISOR DE TECNOLOGIA DA INFORMACAO","supervisor de tecnologia da informacao","information technology supervisor"
"1079","SUP. DE PLANEJAMENTO, ORCAMENTO, FINAN.","SUP. DE PLANEJAMENTO, ORCAMENTO, FINAN.","sup. de planejamento, orcamento, finan.","sup. planning, orca, finan."
"1080","GERENTE DE OBRAS METROPOLITANAS","GERENTE DE OBRAS METROPOLITANAS","gerente de obras metropolitanas","metropolitan works manager"
"1081","SUPERINT. DE DESENVOLVIMENTO REGIONAL E","SUPERINT. DE DESENVOLVIMENTO REGIONAL E","superint. de desenvolvimento regional e","superint. regional development and"
"1082","GERENTE DE MOBILIDADE URBANA","GERENTE DE MOBILIDADE URBANA","gerente de mobilidade urbana","urban mobility manager"
"1083","SUPERVISOR DE EFICIENCIA ENERGETICA","SUPERVISOR DE EFICIENCIA ENERGETICA","supervisor de eficiencia energetica","energy efficiency supervisor"
"1084","ASSESSOR ESPECIAL DE OBRAS","ASSESSOR ESPECIAL DE OBRAS","assessor especial de obras","special works advisor"
"1085","ASSESSOR ESPECIAL DE TRANSPORTE E MOBILI","ASSESSOR ESPECIAL DE TRANSPORTE E MOBILI","assessor especial de transporte e mobili","special transport and mobili advisor"
"1086","GERENTE DE MICRO E PEQUENOS NEGOCIOS","GERENTE DE MICRO E PEQUENOS NEGOCIOS","gerente de micro e pequenos negocios","micro and small business manager"
"1087","ASSESSOR ESPECIAL DE ACOMPANHAMENTO E EX","ASSESSOR ESPECIAL DE ACOMPANHAMENTO E EX","assessor especial de acompanhamento e ex","special follow -up advisor and ex"
"1088","ASSESSOR TECNICO DE CIRETRAN MACEIO","ASSESSOR TECNICO DE CIRETRAN MACEIO","assessor tecnico de ciretran maceio","ciretran maceio technical advisor"
"1089","SUPERINT. DA INDUSTRIA, COMERCIO E SERVI","SUPERINT. DA INDUSTRIA, COMERCIO E SERVI","superint. da industria, comercio e servi","superint. of industry, trade and served"
"1090","GERENTE DE ADMINISTRACAO DOS PALACIOS","GERENTE DE ADMINISTRACAO DOS PALACIOS","gerente de administracao dos palacios","palacias administration manager"
"1091","ASSESSOR ESPECIAL DE DESENVOLVIMENTO URB","ASSESSOR ESPECIAL DE DESENVOLVIMENTO URB","assessor especial de desenvolvimento urb","urb special development advisor"
"1092","SUPERVISOR DE MIDIAS","SUPERVISOR DE MIDIAS","supervisor de midias","media supervisor"
"1093","ASSESSOR ESPECIAL DE LICENCIAMENTO AMBIE","ASSESSOR ESPECIAL DE LICENCIAMENTO AMBIE","assessor especial de licenciamento ambie","special ambie licensing advisor"
"1094","ASSESSOR TECNICO DE CONTABILIDADE","ASSESSOR TECNICO DE CONTABILIDADE","assessor tecnico de contabilidade","accounting technical advisor"
"1095","COORDENADOR SETORIAL - COS-1","COORDENADOR SETORIAL - COS-1","coordenador setorial - cos-1","sectoral coordinator - cos -1"
"1096","ASSESSOR TECNICO DA AREA DE PROTECAO AMB","ASSESSOR TECNICO DA AREA DE PROTECAO AMB","assessor tecnico da area de protecao amb","amb protection area technical advisor"
"1097","ASSISTENTE DE PROCURADORIA P/ ASSESS OP","ASSISTENTE DE PROCURADORIA P/ ASSESS OP","assistente de procuradoria p/ assess op","attorney assistant to assess op"
"1098","SUPERVISOR DE LAZER","SUPERVISOR DE LAZER","supervisor de lazer","leisure supervisor"
"1099","ASSISTENTE DE PROCURADORIA P/ ASSESS SUP","ASSISTENTE DE PROCURADORIA P/ ASSESS SUP","assistente de procuradoria p/ assess sup","attorney's assistant to assess sup"
"1100","COORDENADOR ESPECIAL - COE-1","COORDENADOR ESPECIAL - COE-1","coordenador especial - coe-1","special coordinator - coe -1"
"1101","ASSESSOR AMBIENTAL DE ATIVIDADES MINERAI","ASSESSOR AMBIENTAL DE ATIVIDADES MINERAI","assessor ambiental de atividades minerai","environmental advisor of minerai activities"
"1102","SUPERVISOR DE INCLUSAO SOCIAL","SUPERVISOR DE INCLUSAO SOCIAL","supervisor de inclusao social","social inclusion supervisor"
"1103","SUPERVISOR DE REGULARIZACAO FUNDIARIA","SUPERVISOR DE REGULARIZACAO FUNDIARIA","supervisor de regularizacao fundiaria","regularization supervisor"
"1104","SUPERVISOR DE OBRAS ESPECIAIS","SUPERVISOR DE OBRAS ESPECIAIS","supervisor de obras especiais","special works supervisor"
"1105","SUPERVISOR DE PLANEJAMENTO ESTRATEGICO","SUPERVISOR DE PLANEJAMENTO ESTRATEGICO","supervisor de planejamento estrategico","strategic planning supervisor"
"1106","GERENTE DE OBRAS DE HABITACAO","GERENTE DE OBRAS DE HABITACAO","gerente de obras de habitacao","housing work manager"
"1107","SUPERINT. DO ESTADIO REI PELE","SUPERINT. DO ESTADIO REI PELE","superint. do estadio rei pele","superint. from rei skin stadium"
"1108","SUPERVISOR DE ARQUIVO","SUPERVISOR DE ARQUIVO","supervisor de arquivo","file supervisor"
"1109","SUPERVISOR DE SEGUROS AGRICOLAS","SUPERVISOR DE SEGUROS AGRICOLAS","supervisor de seguros agricolas","agricultural insurance supervisor"
"1110","SUPERVISOR DE FORTALECIMENTO DA AGRICULT","SUPERVISOR DE FORTALECIMENTO DA AGRICULT","supervisor de fortalecimento da agricult","agricult strengthening supervisor"
"1111","ASSESSOR ESPECIAL DE DESENVOLVIMENTO RUR","ASSESSOR ESPECIAL DE DESENVOLVIMENTO RUR","assessor especial de desenvolvimento rur","special development advisor rur"
"1112","SUPERVISOR DE PROJETOS DE ABASTECIMENTO","SUPERVISOR DE PROJETOS DE ABASTECIMENTO","supervisor de projetos de abastecimento","supervisor of supply projects"
"1113","SUPERVISOR DE PROJETOS DE URBANIZACAO","SUPERVISOR DE PROJETOS DE URBANIZACAO","supervisor de projetos de urbanizacao","urbanization project supervisor"
"1114","SUPERVISOR DE ANALISE DE PROCESSOS","SUPERVISOR DE ANALISE DE PROCESSOS","supervisor de analise de processos","process analysis supervisor"
"1115","SUPERVISOR DE IDENTIFICACAO DE DEMANDA E","SUPERVISOR DE IDENTIFICACAO DE DEMANDA E","supervisor de identificacao de demanda e","demand identification supervisor and"
"1116","SUPERVISOR DE ACOMPANHAMENTO DE PROJETOS","SUPERVISOR DE ACOMPANHAMENTO DE PROJETOS","supervisor de acompanhamento de projetos","project monitoring supervisor"
"1117","GERENTE DE PROJETOS SOCIAIS","GERENTE DE PROJETOS SOCIAIS","gerente de projetos sociais","social project manager"
"1118","AGENTE DE SINE MARECHAL DEODORO","AGENTE DE SINE MARECHAL DEODORO","agente de sine marechal deodoro","sine marechal deodoro agent"
"1119","SUPERINT. DE DESENVOLVIMENTO DA AQUICULT","SUPERINT. DE DESENVOLVIMENTO DA AQUICULT","superint. de desenvolvimento da aquicult","superint. aquicult development"
"1120","AGENTE ESPECIAL DE SINE DE CAPTACAO DE V","AGENTE ESPECIAL DE SINE DE CAPTACAO DE V","agente especial de sine de captacao de v","v special agent of v capture"
"1121","GERENTE EXECUTIVO DE FINANCAS E CONTABIL","GERENTE EXECUTIVO DE FINANCAS E CONTABIL","gerente executivo de financas e contabil","executive manager of financas and accounting"
"1122","ASSESSOR TECNICO DE ESTATISTICA PESQUEIR","ASSESSOR TECNICO DE ESTATISTICA PESQUEIR","assessor tecnico de estatistica pesqueir","pesqueir statistics technical advisor"
"1123","AGENTE DE SINE PALMEIRA DOS INDIOS","AGENTE DE SINE PALMEIRA DOS INDIOS","agente de sine palmeira dos indios","sine palmeira dos indios agent"
"1124","SUPERVISOR DE POLITICA DE HABITACAO DE I","SUPERVISOR DE POLITICA DE HABITACAO DE I","supervisor de politica de habitacao de i","i housing policy supervisor"
